,open,high,low,close,volume,moving_avg_5,moving_avg_10,volatility
2025-01-15 12:25:00,237.22,237.36,237.04,237.1199,186311,237.30718000000002,237.12359,0.0009462461906513274
2025-01-15 12:30:00,237.115,237.35,237.115,237.255,241200,237.25198,237.14809,0.0005616277285678402
2025-01-15 12:35:00,237.26,237.48,237.22,237.48,204192,237.25898,237.20108999999997,0.0007575537202849071
2025-01-15 12:40:00,237.47,237.57,237.445,237.51,191317,237.31698,237.27209000000002,0.0005289421967302339
2025-01-15 12:45:00,237.5174,237.74,237.48,237.65,208248,237.40297999999999,237.35959000000003,0.0005265095577945476
2025-01-15 12:50:00,237.65,237.65,237.35,237.5,187605,237.47899999999998,237.39309000000003,0.0006066406057933607
2025-01-15 12:55:00,237.49,237.5,237.16,237.19,211663,237.46599999999998,237.35899000000003,0.0009151555223533651
2025-01-15 13:00:00,237.2,237.47,237.2,237.35,160609,237.43999999999997,237.34949,0.0008457098421942992
2025-01-15 13:05:00,237.3598,237.3938,237.16,237.17,162703,237.37199999999999,237.34449,0.0008761105625101572
2025-01-15 13:10:00,237.1624,237.1776,236.97,237.025,210090,237.24699999999999,237.32498999999999,0.0007281750462793398
2025-01-15 13:15:00,237.02,237.41,236.99,237.37,169287,237.221,237.35,0.0011365386692047006
2025-01-15 13:20:00,237.3677,237.5,237.33,237.44,132025,237.27100000000002,237.36850000000004,0.0009201636988276251
2025-01-15 13:25:00,237.44,237.54,237.39,237.53,125032,237.30700000000002,237.3735,0.0008920082497815102
2025-01-15 13:30:00,237.53,237.58,237.39,237.4299,165898,237.35898000000003,237.36549,0.0008154866452760874
2025-01-15 13:35:00,237.42,237.45,237.26,237.3687,205697,237.42772,237.33736,0.0007369875763561069
2025-01-15 13:40:00,237.37,237.61,237.3,237.5566,169410,237.46504,237.34301999999997,0.0004943749859916726
2025-01-15 13:45:00,237.55,237.7247,237.54,237.5601,148247,237.48906000000002,237.38002999999998,0.0004907402277842783
2025-01-15 13:50:00,237.58,237.7,237.55,237.5824,172616,237.49954000000002,237.40326999999996,0.000466346968453399
2025-01-15 13:55:00,237.585,237.63,237.495,237.58,172248,237.52956,237.44426999999996,0.0003944060409561597
2025-01-15 14:00:00,237.58,237.7374,237.57,237.63,110643,237.58181999999996,237.50477,0.00033083312718436736
2025-01-15 14:05:00,237.64,237.73,237.59,237.6564,140871,237.60178000000002,237.53341,8.728641741320149e-05
2025-01-15 14:10:00,237.65,237.765,237.63,237.765,168214,237.64276,237.56591000000003,0.0001772396763696974
2025-01-15 14:15:00,237.76,237.76,237.57,237.625,139478,237.65127999999999,237.57541,0.0003891672859730156
2025-01-15 14:20:00,237.63,237.685,237.43,237.51,141483,237.63728,237.58342,0.0004552607301653619
2025-01-15 14:25:00,237.5,237.62,237.44,237.565,175210,237.62428,237.60305,0.00045846977402194927
2025-01-15 14:30:00,237.58,237.98,237.58,237.825,212209,237.658,237.62989000000002,0.0006964686620281036
2025-01-15 14:35:00,237.8214,238.0342,237.82,237.96,244201,237.69700000000003,237.66988,0.0007105961295527836
2025-01-15 14:40:00,237.97,238.0274,237.76,237.835,179530,237.73899999999998,237.69513999999998,0.0006941465051458454
2025-01-15 14:45:00,237.835,237.95,237.7429,237.78,198186,237.79300000000003,237.71514000000002,0.0006411814167901138
2025-01-15 14:50:00,237.775,237.94,237.74,237.91,173434,237.862,237.74313999999998,0.0006569870105909729
2025-01-15 14:55:00,237.9035,237.9299,237.8,237.81,178152,237.859,237.75849999999997,0.0005306685690311884
2025-01-15 15:00:00,237.83,237.9134,237.755,237.775,184657,237.82200000000003,237.75949999999997,0.00042006258255102404
2025-01-15 15:05:00,237.775,237.87,237.623,237.74,249120,237.80299999999997,237.77100000000002,0.00036759719170278385
2025-01-15 15:10:00,237.75,237.9099,237.74,237.81,283583,237.80900000000003,237.80100000000002,0.0003880740516220463
2025-01-15 15:15:00,237.81,237.8299,237.74,237.79,231740,237.785,237.82350000000002,0.0002563659464197031
2025-01-15 15:20:00,237.79,237.83,237.6818,237.725,242644,237.76799999999997,237.81349999999998,0.00021579564277003898
2025-01-15 15:25:00,237.725,237.8099,237.52,237.6212,404751,237.73724,237.77962000000002,0.0002725463516665806
2025-01-15 15:30:00,237.62,237.91,237.61,237.88,314163,237.76524,237.78412000000003,0.0006074218946738441
2025-01-15 15:35:00,237.87,237.88,237.715,237.8332,286401,237.76988,237.78944,0.0006114370111777824
2025-01-15 15:40:00,237.85,237.92,237.6,237.82,365241,237.77588,237.78044,0.0006103564893261624
2025-01-15 15:45:00,237.8141,238.0788,237.8141,237.99,372119,237.82888000000003,237.79844000000003,0.000648254938896453
